Antecedent,Consequent,Support,Confidence,Lift
CROP_Watermelon,"Nitrogen_High, Potassium_High",0.0455,1.0,6.7692
CROP_Muskmelon,"Nitrogen_High, Potassium_High",0.0455,1.0,6.7692
CROP_KidneyBeans,"Humidity_Low, Temperature_Low",0.0405,0.89,6.7517
CROP_KidneyBeans,"Temperature_Low, pH_Value_Low",0.0405,0.89,6.6826
CROP_Muskmelon,"Humidity_High, Temperature_High",0.04,0.88,6.4106
CROP_Muskmelon,"Humidity_High, Potassium_High",0.0455,1.0,5.9783
CROP_Apple,"Humidity_High, Potassium_High",0.0455,1.0,5.9783
CROP_Papaya,"Humidity_High, Potassium_High",0.0455,1.0,5.9783
CROP_Apple,"Phosphorus_High, Temperature_Low",0.0414,0.91,5.8367
CROP_Muskmelon,"Rainfall_Low, Temperature_High",0.04,0.88,5.5954
CROP_Coconut,"Phosphorus_Low, Potassium_Med",0.0455,1.0,5.5276
CROP_Lentil,"Potassium_Low, Rainfall_Low",0.0409,0.9,5.4247
CROP_Watermelon,"Nitrogen_High, Temperature_Med",0.0455,1.0,5.2506
CROP_Grapes,"Phosphorus_High, Potassium_High",0.0455,1.0,5.1887
CROP_Banana,"Phosphorus_High, Potassium_High",0.0455,1.0,5.1887
CROP_Apple,"Phosphorus_High, Potassium_High",0.0455,1.0,5.1887
CROP_Coffee,"Potassium_Med, Rainfall_High",0.0455,1.0,5.1522
CROP_Coconut,"Potassium_Med, Rainfall_High",0.0455,1.0,5.1522
CROP_Mango,"Phosphorus_Low, Potassium_Med",0.0414,0.91,5.0302
CROP_Pomegranate,"Phosphorus_Low, Potassium_Med",0.0414,0.91,5.0302
CROP_Cotton,"Humidity_Med, Nitrogen_High",0.0441,0.97,4.8721
CROP_Rice,"Potassium_Med, Rainfall_High",0.0427,0.94,4.8431
CROP_Banana,"Humidity_Med, Nitrogen_High",0.0436,0.96,4.8219
CROP_Orange,"Humidity_High, Phosphorus_Low",0.0455,1.0,4.721
CROP_Coconut,"Humidity_High, Phosphorus_Low",0.0455,1.0,4.721
CROP_Pomegranate,"Humidity_High, Phosphorus_Low",0.0455,1.0,4.721
CROP_Muskmelon,"Humidity_High, Phosphorus_Low",0.0455,1.0,4.721
CROP_Jute,"Potassium_Med, Rainfall_High",0.0414,0.91,4.6885
CROP_Coconut,Potassium_Med,0.0455,1.0,3.17
"CROP_Coconut, Humidity_High",Potassium_Med,0.0455,1.0,3.17
"CROP_Mango, Phosphorus_Low",Potassium_Med,0.0414,1.0,3.17
"CROP_Mango, Rainfall_Med",Potassium_Med,0.0455,1.0,3.17
"CROP_Coffee, Nitrogen_High",Potassium_Med,0.0455,1.0,3.17
"CROP_Coconut, Phosphorus_Low",Potassium_Med,0.0455,1.0,3.17
"CROP_Mango, Humidity_Low",Potassium_Med,0.0455,1.0,3.17
"CROP_Coconut, Rainfall_High",Potassium_Med,0.0455,1.0,3.17
"CROP_Mango, Temperature_High",Potassium_Med,0.0427,1.0,3.17
CROP_Coffee,Potassium_Med,0.0455,1.0,3.17
CROP_Mango,Potassium_Med,0.0455,1.0,3.17
"CROP_Coffee, Rainfall_High",Potassium_Med,0.0455,1.0,3.17
"CROP_Banana, Phosphorus_High",Potassium_High,0.0455,1.0,3.0387
CROP_Apple,Potassium_High,0.0455,1.0,3.0387
"CROP_Watermelon, Temperature_Med",Potassium_High,0.0455,1.0,3.0387
"CROP_Watermelon, Nitrogen_High",Potassium_High,0.0455,1.0,3.0387
CROP_Grapes,Potassium_High,0.0455,1.0,3.0387
CROP_ChickPea,Potassium_High,0.0455,1.0,3.0387
"CROP_Banana, Humidity_Med",Potassium_High,0.0436,1.0,3.0387
"CROP_Muskmelon, Nitrogen_High",Potassium_High,0.0455,1.0,3.0387
CROP_Papaya,Potassium_High,0.0455,1.0,3.0387
"CROP_ChickPea, Temperature_Low",Potassium_High,0.0455,1.0,3.0387
"CROP_Watermelon, Rainfall_Low",Potassium_High,0.0455,1.0,3.0387
CROP_Banana,Potassium_High,0.0455,1.0,3.0387
CROP_Muskmelon,Potassium_High,0.0455,1.0,3.0387
CROP_Watermelon,Potassium_High,0.0455,1.0,3.0387
"CROP_Apple, Humidity_High",Potassium_High,0.0455,1.0,3.0387
"CROP_Grapes, Phosphorus_High",Potassium_High,0.0455,1.0,3.0387
"CROP_Banana, Nitrogen_High",Potassium_High,0.0455,1.0,3.0387
"CROP_Muskmelon, Temperature_High",Potassium_High,0.04,1.0,3.0387
"CROP_Apple, Temperature_Low",Potassium_High,0.0414,1.0,3.0387
"CROP_Muskmelon, Phosphorus_Low",Potassium_High,0.0455,1.0,3.0387
"CROP_Muskmelon, Rainfall_Low",Potassium_High,0.0455,1.0,3.0387
"Nitrogen_High, Phosphorus_High",Potassium_High,0.0495,1.0,3.0387
"CROP_Muskmelon, Humidity_High",Potassium_High,0.0455,1.0,3.0387
"CROP_Watermelon, Phosphorus_Low",Potassium_High,0.0455,1.0,3.0387
"Humidity_High, Phosphorus_High",Potassium_High,0.0686,1.0,3.0387
"CROP_Apple, Phosphorus_High",Potassium_High,0.0455,1.0,3.0387
"CROP_ChickPea, Humidity_Low",Potassium_High,0.0455,1.0,3.0387
"CROP_Papaya, Humidity_High",Potassium_High,0.0455,1.0,3.0387
"CROP_Grapes, Humidity_Med",Potassium_High,0.0455,1.0,3.0387
CROP_KidneyBeans,Humidity_Low,0.0455,1.0,3.0303
CROP_MungBean,Rainfall_Low,0.0455,1.0,3.0303
"CROP_Lentil, Potassium_Low",Rainfall_Low,0.0409,1.0,3.0303
"CROP_ChickPea, Potassium_High",Temperature_Low,0.0455,1.0,3.0303
"CROP_Watermelon, Potassium_High",Rainfall_Low,0.0455,1.0,3.0303
CROP_Watermelon,Rainfall_Low,0.0455,1.0,3.0303
"CROP_Muskmelon, Temperature_High",Rainfall_Low,0.04,1.0,3.0303
"Humidity_Low, Potassium_High",Temperature_Low,0.0455,1.0,3.0303
CROP_ChickPea,Temperature_Low,0.0455,1.0,3.0303
CROP_Grapes,Humidity_Med,0.0455,1.0,3.0303
"CROP_MothBeans, Rainfall_Low",Humidity_Low,0.0414,1.0,3.0303
"CROP_Mango, Phosphorus_Low",Humidity_Low,0.0414,1.0,3.0303
CROP_Mango,Rainfall_Med,0.0455,1.0,3.0303
CROP_KidneyBeans,pH_Value_Low,0.0455,1.0,3.0303
CROP_Muskmelon,Rainfall_Low,0.0455,1.0,3.0303
CROP_Watermelon,Temperature_Med,0.0455,1.0,3.0303
CROP_MothBeans,Humidity_Low,0.0455,1.0,3.0303
CROP_Mango,Humidity_Low,0.0455,1.0,3.0303
"CROP_KidneyBeans, Temperature_Low",pH_Value_Low,0.0405,1.0,3.0303
"CROP_Grapes, Phosphorus_High",Humidity_Med,0.0455,1.0,3.0303
"CROP_Mango, Humidity_Low",Rainfall_Med,0.0455,1.0,3.0303
"CROP_Mango, Rainfall_Med",Humidity_Low,0.0455,1.0,3.0303
"CROP_Grapes, Potassium_High",Humidity_Med,0.0455,1.0,3.0303
"CROP_Muskmelon, Nitrogen_High",Rainfall_Low,0.0455,1.0,3.0303
"CROP_MothBeans, Phosphorus_Med",Humidity_Low,0.0405,1.0,3.0303
"CROP_Watermelon, Phosphorus_Low",Temperature_Med,0.0455,1.0,3.0303
CROP_ChickPea,Humidity_Low,0.0455,1.0,3.0303
CROP_Lentil,Rainfall_Low,0.0455,1.0,3.0303
"CROP_Watermelon, Potassium_High",Temperature_Med,0.0455,1.0,3.0303
"CROP_ChickPea, Temperature_Low",Humidity_Low,0.0455,1.0,3.0303
"CROP_ChickPea, Humidity_Low",Temperature_Low,0.0455,1.0,3.0303
"CROP_Muskmelon, Phosphorus_Low",Rainfall_Low,0.0455,1.0,3.0303
"CROP_Watermelon, Nitrogen_High",Temperature_Med,0.0455,1.0,3.0303
"CROP_ChickPea, Potassium_High",Humidity_Low,0.0455,1.0,3.0303
"CROP_Watermelon, Phosphorus_Low",Rainfall_Low,0.0455,1.0,3.0303
"CROP_Mango, Phosphorus_Low",Rainfall_Med,0.0414,1.0,3.0303
"CROP_Watermelon, Temperature_Med",Rainfall_Low,0.0455,1.0,3.0303
"CROP_KidneyBeans, Humidity_Low",pH_Value_Low,0.0455,1.0,3.0303
"CROP_KidneyBeans, pH_Value_Low",Humidity_Low,0.0455,1.0,3.0303
"CROP_Watermelon, Nitrogen_High",Rainfall_Low,0.0455,1.0,3.0303
"CROP_Mango, Temperature_High",Humidity_Low,0.0427,1.0,3.0303
"CROP_Muskmelon, Humidity_High",Rainfall_Low,0.0455,1.0,3.0303
"CROP_Muskmelon, Potassium_High",Rainfall_Low,0.0455,1.0,3.0303
"CROP_Watermelon, Rainfall_Low",Temperature_Med,0.0455,1.0,3.0303
"CROP_Mango, Potassium_Med",Humidity_Low,0.0455,1.0,3.0303
"CROP_Mango, Temperature_High",Rainfall_Med,0.0427,1.0,3.0303
"CROP_Mango, Potassium_Med",Rainfall_Med,0.0455,1.0,3.0303
"CROP_KidneyBeans, Temperature_Low",Humidity_Low,0.0405,1.0,3.0303
CROP_Rice,Potassium_Med,0.0427,0.94,2.9798
"CROP_Rice, Rainfall_High",Potassium_Med,0.0427,0.94,2.9798
"CROP_Rice, Humidity_Med",Potassium_Med,0.0409,0.9375,2.9719
"CROP_Banana, Humidity_Med",Phosphorus_High,0.0436,1.0,2.965
"CROP_Banana, Nitrogen_High",Phosphorus_High,0.0455,1.0,2.965
CROP_Grapes,Phosphorus_High,0.0455,1.0,2.965
CROP_Banana,Phosphorus_High,0.0455,1.0,2.965
"CROP_Banana, Potassium_High",Phosphorus_High,0.0455,1.0,2.965
"CROP_Apple, Temperature_Low",Phosphorus_High,0.0414,1.0,2.965
"CROP_Apple, Humidity_High",Phosphorus_High,0.0455,1.0,2.965
"CROP_Grapes, Humidity_Med",Phosphorus_High,0.0455,1.0,2.965
"CROP_Grapes, Potassium_High",Phosphorus_High,0.0455,1.0,2.965
CROP_Apple,Phosphorus_High,0.0455,1.0,2.965
"CROP_Apple, Potassium_High",Phosphorus_High,0.0455,1.0,2.965
"CROP_Muskmelon, Humidity_High",Nitrogen_High,0.0455,1.0,2.953
CROP_Coffee,Nitrogen_High,0.0455,1.0,2.953
"CROP_Watermelon, Rainfall_Low",Nitrogen_High,0.0455,1.0,2.953
"CROP_Muskmelon, Phosphorus_Low",Nitrogen_High,0.0455,1.0,2.953
"CROP_Banana, Potassium_High",Nitrogen_High,0.0455,1.0,2.953
"CROP_Banana, Phosphorus_High",Nitrogen_High,0.0455,1.0,2.953
"CROP_Watermelon, Temperature_Med",Nitrogen_High,0.0455,1.0,2.953
"CROP_Muskmelon, Potassium_High",Nitrogen_High,0.0455,1.0,2.953
"CROP_Watermelon, Potassium_High",Nitrogen_High,0.0455,1.0,2.953
"CROP_Banana, Humidity_Med",Nitrogen_High,0.0436,1.0,2.953
CROP_Watermelon,Nitrogen_High,0.0455,1.0,2.953
CROP_Muskmelon,Nitrogen_High,0.0455,1.0,2.953
"CROP_Coffee, Potassium_Med",Nitrogen_High,0.0455,1.0,2.953
"CROP_Muskmelon, Temperature_High",Nitrogen_High,0.04,1.0,2.953
"CROP_Watermelon, Phosphorus_Low",Nitrogen_High,0.0455,1.0,2.953
CROP_Banana,Nitrogen_High,0.0455,1.0,2.953
"CROP_Muskmelon, Rainfall_Low",Nitrogen_High,0.0455,1.0,2.953
"CROP_Cotton, Humidity_Med",Nitrogen_High,0.0441,1.0,2.953
"CROP_Coffee, Rainfall_High",Nitrogen_High,0.0455,1.0,2.953
CROP_Cotton,Nitrogen_High,0.0455,1.0,2.953
"CROP_Papaya, Potassium_High",Humidity_High,0.0455,1.0,2.9412
"CROP_Rice, Humidity_Med",Rainfall_High,0.0436,1.0,2.9412
CROP_Papaya,Humidity_High,0.0455,1.0,2.9412
CROP_Pomegranate,Humidity_High,0.0455,1.0,2.9412
"CROP_Apple, Potassium_High",Humidity_High,0.0455,1.0,2.9412
"CROP_Coconut, Phosphorus_Low",Humidity_High,0.0455,1.0,2.9412
"CROP_Orange, Phosphorus_Low",Humidity_High,0.0455,1.0,2.9412
CROP_Muskmelon,Humidity_High,0.0455,1.0,2.9412
"CROP_Coffee, Nitrogen_High",Rainfall_High,0.0455,1.0,2.9412
"CROP_Pomegranate, Potassium_Med",Humidity_High,0.0414,1.0,2.9412
"CROP_Coffee, Potassium_Med",Rainfall_High,0.0455,1.0,2.9412
CROP_Apple,Humidity_High,0.0455,1.0,2.9412
CROP_Coffee,Rainfall_High,0.0455,1.0,2.9412
CROP_Coconut,Rainfall_High,0.0455,1.0,2.9412
"CROP_Coconut, Potassium_Med",Humidity_High,0.0455,1.0,2.9412
CROP_Orange,Humidity_High,0.0455,1.0,2.9412
"CROP_Rice, Potassium_Med",Rainfall_High,0.0427,1.0,2.9412
"CROP_Muskmelon, Potassium_High",Humidity_High,0.0455,1.0,2.9412
"CROP_Apple, Phosphorus_High",Humidity_High,0.0455,1.0,2.9412
"CROP_Coconut, Rainfall_High",Humidity_High,0.0455,1.0,2.9412
"CROP_Orange, Potassium_Low",Humidity_High,0.0455,1.0,2.9412
"CROP_Jute, Phosphorus_Med",Rainfall_High,0.0414,1.0,2.9412
"CROP_Pomegranate, Phosphorus_Low",Humidity_High,0.0455,1.0,2.9412
"CROP_Coconut, Phosphorus_Low",Rainfall_High,0.0455,1.0,2.9412
"CROP_Coconut, Potassium_Med",Rainfall_High,0.0455,1.0,2.9412
"CROP_Muskmelon, Phosphorus_Low",Humidity_High,0.0455,1.0,2.9412
"CROP_Apple, Temperature_Low",Humidity_High,0.0414,1.0,2.9412
CROP_Coconut,Humidity_High,0.0455,1.0,2.9412
CROP_Jute,Rainfall_High,0.0455,1.0,2.9412
"CROP_Jute, Potassium_Med",Rainfall_High,0.0414,1.0,2.9412
"CROP_Coconut, Humidity_High",Rainfall_High,0.0455,1.0,2.9412
"CROP_Muskmelon, Rainfall_Low",Humidity_High,0.0455,1.0,2.9412
"CROP_Muskmelon, Nitrogen_High",Humidity_High,0.0455,1.0,2.9412
"CROP_Muskmelon, Temperature_High",Humidity_High,0.04,1.0,2.9412
CROP_Rice,Rainfall_High,0.0455,1.0,2.9412
CROP_Cotton,Humidity_Med,0.0441,0.97,2.9394
"CROP_Cotton, Nitrogen_High",Humidity_Med,0.0441,0.97,2.9394
"CROP_Watermelon, Rainfall_Low",Phosphorus_Low,0.0455,1.0,2.9372
"CROP_Coconut, Rainfall_High",Phosphorus_Low,0.0455,1.0,2.9372
"CROP_Coconut, Humidity_High",Phosphorus_Low,0.0455,1.0,2.9372
CROP_Coconut,Phosphorus_Low,0.0455,1.0,2.9372
CROP_Pomegranate,Phosphorus_Low,0.0455,1.0,2.9372
"CROP_Orange, Humidity_High",Phosphorus_Low,0.0455,1.0,2.9372
CROP_Watermelon,Phosphorus_Low,0.0455,1.0,2.9372
"CROP_Coconut, Potassium_Med",Phosphorus_Low,0.0455,1.0,2.9372
"CROP_Muskmelon, Potassium_High",Phosphorus_Low,0.0455,1.0,2.9372
"CROP_Muskmelon, Rainfall_Low",Phosphorus_Low,0.0455,1.0,2.9372
"CROP_Watermelon, Nitrogen_High",Phosphorus_Low,0.0455,1.0,2.9372
CROP_Muskmelon,Phosphorus_Low,0.0455,1.0,2.9372
"CROP_Muskmelon, Temperature_High",Phosphorus_Low,0.04,1.0,2.9372
"CROP_Watermelon, Temperature_Med",Phosphorus_Low,0.0455,1.0,2.9372
"CROP_Muskmelon, Nitrogen_High",Phosphorus_Low,0.0455,1.0,2.9372
"CROP_Orange, Potassium_Low",Phosphorus_Low,0.0455,1.0,2.9372
"CROP_Pomegranate, Potassium_Med",Phosphorus_Low,0.0414,1.0,2.9372
"CROP_Pomegranate, Humidity_High",Phosphorus_Low,0.0455,1.0,2.9372
CROP_Orange,Phosphorus_Low,0.0455,1.0,2.9372
"CROP_Muskmelon, Humidity_High",Phosphorus_Low,0.0455,1.0,2.9372
"CROP_Watermelon, Potassium_High",Phosphorus_Low,0.0455,1.0,2.9372
"CROP_Banana, Potassium_High",Humidity_Med,0.0436,0.96,2.9091
CROP_Banana,Humidity_Med,0.0436,0.96,2.9091
"CROP_Banana, Phosphorus_High",Humidity_Med,0.0436,0.96,2.9091
"CROP_Rice, Rainfall_High",Humidity_Med,0.0436,0.96,2.9091
CROP_Rice,Humidity_Med,0.0436,0.96,2.9091
"CROP_Banana, Nitrogen_High",Humidity_Med,0.0436,0.96,2.9091
"CROP_Rice, Potassium_Med",Humidity_Med,0.0409,0.9574,2.9014
"Humidity_Low, Phosphorus_Low",Potassium_Med,0.0723,0.9138,2.8968
"CROP_Pomegranate, Phosphorus_Low",Potassium_Med,0.0414,0.91,2.8847
CROP_Jute,Potassium_Med,0.0414,0.91,2.8847
"CROP_Pomegranate, Humidity_High",Potassium_Med,0.0414,0.91,2.8847
CROP_Pomegranate,Potassium_Med,0.0414,0.91,2.8847
"CROP_Jute, Rainfall_High",Potassium_Med,0.0414,0.91,2.8847
"Phosphorus_Low, Potassium_High",Rainfall_Low,0.0909,0.9479,2.8723
"Phosphorus_Low, Potassium_High",Nitrogen_High,0.0918,0.9573,2.8271
CROP_Jute,Phosphorus_Med,0.0414,0.91,2.8237
"CROP_Jute, Rainfall_High",Phosphorus_Med,0.0414,0.91,2.8237
CROP_Orange,Potassium_Low,0.0455,1.0,2.8133
"CROP_Orange, Phosphorus_Low",Potassium_Low,0.0455,1.0,2.8133
"CROP_Orange, Humidity_High",Potassium_Low,0.0455,1.0,2.8133
"Nitrogen_High, Temperature_High",Potassium_High,0.0673,0.925,2.8108
"Nitrogen_High, Potassium_Low",Phosphorus_Med,0.0609,0.8993,2.7906
"Nitrogen_Low, Potassium_High",Phosphorus_High,0.0555,0.9385,2.7825
CROP_Mango,Temperature_High,0.0427,0.94,2.7647
"CROP_Mango, Humidity_Low",Temperature_High,0.0427,0.94,2.7647
"CROP_Mango, Potassium_Med",Temperature_High,0.0427,0.94,2.7647
"CROP_Mango, Rainfall_Med",Temperature_High,0.0427,0.94,2.7647
CROP_MothBeans,Phosphorus_Med,0.0405,0.89,2.7616
"CROP_MothBeans, Humidity_Low",Phosphorus_Med,0.0405,0.89,2.7616
CROP_Maize,Phosphorus_Med,0.0405,0.89,2.7616
"CROP_Apple, Phosphorus_High",Temperature_Low,0.0414,0.91,2.7576
"CROP_Apple, Potassium_High",Temperature_Low,0.0414,0.91,2.7576
"CROP_Apple, Humidity_High",Temperature_Low,0.0414,0.91,2.7576
"CROP_MothBeans, Humidity_Low",Rainfall_Low,0.0414,0.91,2.7576
CROP_PigeonPeas,Humidity_Low,0.0414,0.91,2.7576
CROP_MothBeans,Rainfall_Low,0.0414,0.91,2.7576
CROP_Apple,Temperature_Low,0.0414,0.91,2.7576
"Humidity_High, Nitrogen_High",Potassium_High,0.0777,0.8906,2.7063
CROP_KidneyBeans,Temperature_Low,0.0405,0.89,2.697
"CROP_KidneyBeans, pH_Value_Low",Temperature_Low,0.0405,0.89,2.697
"CROP_KidneyBeans, Humidity_Low",Temperature_Low,0.0405,0.89,2.697
"CROP_Mango, Potassium_Med",Phosphorus_Low,0.0414,0.91,2.6729
"CROP_Mango, Rainfall_Med",Phosphorus_Low,0.0414,0.91,2.6729
CROP_Mango,Phosphorus_Low,0.0414,0.91,2.6729
"CROP_Mango, Humidity_Low",Phosphorus_Low,0.0414,0.91,2.6729
"Nitrogen_High, Phosphorus_High",Humidity_Med,0.0436,0.8807,2.6689
"Nitrogen_High, Potassium_Med",Rainfall_High,0.1114,0.9041,2.659
"Humidity_Med, Phosphorus_Low",Nitrogen_High,0.0445,0.8991,2.655
"Nitrogen_High, Rainfall_High",Potassium_Med,0.1114,0.8305,2.6327
"Phosphorus_Low, Rainfall_Low",Nitrogen_High,0.0941,0.8884,2.6235
"Phosphorus_Low, Rainfall_Low",Potassium_High,0.0909,0.8584,2.6083
"CROP_Muskmelon, Phosphorus_Low",Temperature_High,0.04,0.88,2.5882
"CROP_Muskmelon, Nitrogen_High",Temperature_High,0.04,0.88,2.5882
"CROP_Muskmelon, Humidity_High",Temperature_High,0.04,0.88,2.5882
"CROP_Muskmelon, Potassium_High",Temperature_High,0.04,0.88,2.5882
CROP_Muskmelon,Temperature_High,0.04,0.88,2.5882
"CROP_Muskmelon, Rainfall_Low",Temperature_High,0.04,0.88,2.5882
"Humidity_High, Potassium_Med",Phosphorus_Low,0.0891,0.875,2.5701
"Potassium_Low, pH_Value_Low",Humidity_Low,0.0891,0.8448,2.5601
"Potassium_High, Temperature_Low",Phosphorus_High,0.1009,0.8605,2.5512
"Rainfall_High, Temperature_Med",Potassium_Med,0.1123,0.8046,2.5505
"Nitrogen_High, Rainfall_Med",Humidity_Med,0.0777,0.8382,2.5401
"Potassium_High, Rainfall_Med",Phosphorus_High,0.0995,0.8555,2.5364
"CROP_Lentil, Rainfall_Low",Potassium_Low,0.0409,0.9,2.532
CROP_Lentil,Potassium_Low,0.0409,0.9,2.532
"Phosphorus_Low, Rainfall_High",Potassium_Med,0.1023,0.7979,2.5293
"Nitrogen_High, Rainfall_Low",Potassium_High,0.0923,0.8252,2.5075
"Nitrogen_High, Temperature_Low",Phosphorus_Med,0.0609,0.8072,2.5048
"Humidity_High, Nitrogen_High",Rainfall_Low,0.0714,0.8177,2.4779
"Humidity_Med, Rainfall_High",Potassium_Med,0.0827,0.7811,2.4762
CROP_Maize,Potassium_Low,0.04,0.88,2.4757
"Nitrogen_High, Rainfall_Low",Phosphorus_Low,0.0941,0.8415,2.4716
"Phosphorus_Low, pH_Value_Low",Potassium_Med,0.0768,0.7788,2.4688
"Potassium_High, pH_Value_Low",Phosphorus_High,0.0909,0.8299,2.4605
"Humidity_Med, Nitrogen_Low",Rainfall_Low,0.0486,0.8106,2.4564
"Humidity_Med, Potassium_Med",Rainfall_High,0.0827,0.8311,2.4443
"Potassium_High, Temperature_Med",Nitrogen_High,0.08,0.8263,2.4401
"Humidity_Med, Potassium_Med",Phosphorus_Med,0.0777,0.7808,2.4229
"Potassium_Med, Temperature_Med",Rainfall_High,0.1123,0.8233,2.4216
"Potassium_Med, Rainfall_Med",Phosphorus_Low,0.0759,0.8186,2.4045
"Humidity_High, Nitrogen_High",Phosphorus_Low,0.0714,0.8177,2.4018
"Humidity_Med, Rainfall_High",Nitrogen_High,0.0859,0.8112,2.3954
"Nitrogen_High, Phosphorus_Med",Humidity_Med,0.1109,0.7846,2.3775
"Nitrogen_High, Potassium_Low",Humidity_Med,0.0523,0.7718,2.3388
"Nitrogen_High, Potassium_Low",Rainfall_Med,0.0518,0.7651,2.3185
"Humidity_Med, Temperature_Med",Nitrogen_High,0.1218,0.7813,2.3073
"Phosphorus_Low, Temperature_Low",Humidity_High,0.0577,0.784,2.3057
"Phosphorus_High, Rainfall_Med",Potassium_High,0.0995,0.75,2.279
